Obs,Ind,Comp,Pred,Time,N,chunks,frame.size
Grassland,AI,CBR128,Grassland,Day,923,None,2.5min
Grassland,AI,CBR256,Grassland,Day,967,None,2.5min
Grassland,AI,CBR32,Grassland,Day,793,None,2.5min
Grassland,AI,CBR320,Grassland,Day,916,None,2.5min
Grassland,AI,CBR64,Grassland,Day,939,None,2.5min
Grassland,AI,CBR8,Grassland,Day,979,None,2.5min
Grassland,AI,RAW,Grassland,Day,1011,None,2.5min
Grassland,AI,VBR0,Grassland,Day,936,None,2.5min
Grassland,AI,CBR128,Grassland,Day,120,None,20min
Grassland,AI,CBR16,Grassland,Day,124,None,20min
Grassland,AI,CBR256,Grassland,Day,121,None,20min
Grassland,AI,CBR32,Grassland,Day,109,None,20min
Grassland,AI,CBR320,Grassland,Day,122,None,20min
Grassland,AI,CBR64,Grassland,Day,128,None,20min
Grassland,AI,CBR8,Grassland,Day,126,None,20min
Grassland,AI,RAW,Grassland,Day,124,None,20min
Grassland,AI,VBR0,Grassland,Day,125,None,20min
Grassland,AI,CBR128,Grassland,Day,237,None,10min
Grassland,AI,RAW,Grassland,Day,235,None,10min
Grassland,AI,CBR16,Grassland,Day,242,None,10min
Grassland,AI,CBR16,Grassland,Day,955,None,2.5min
Grassland,AI,CBR256,Grassland,Day,247,None,10min
Grassland,AI,CBR32,Grassland,Day,212,None,10min
Grassland,AI,CBR320,Grassland,Day,247,None,10min
Grassland,AI,CBR64,Grassland,Day,251,None,10min
Grassland,AI,CBR8,Grassland,Day,246,None,10min
Grassland,AI,VBR0,Grassland,Day,209,None,10min
Grassland,AI,CBR256,Grassland,Day,495,None,5min
Grassland,AI,CBR320,Grassland,Day,497,None,5min
Grassland,AI,CBR64,Grassland,Day,495,None,5min
Grassland,AI,CBR8,Grassland,Day,484,None,5min
Grassland,AI,RAW,Grassland,Day,484,None,5min
Grassland,AI,VBR0,Grassland,Day,434,None,5min
Grassland,AS,CBR128,Grassland,Day,289,None,10min
Grassland,AS,CBR16,Grassland,Day,274,None,10min
Grassland,AS,CBR256,Grassland,Day,292,None,10min
Grassland,AS,CBR32,Grassland,Day,284,None,10min
Grassland,AS,CBR320,Grassland,Day,292,None,10min
Grassland,AS,CBR64,Grassland,Day,283,None,10min
Grassland,AS,CBR8,Grassland,Day,292,None,10min
Grassland,AS,RAW,Grassland,Day,292,None,10min
Grassland,AS,VBR0,Grassland,Day,291,None,10min
Grassland,AS,CBR128,Grassland,Day,1166,None,2.5min
Grassland,AS,CBR16,Grassland,Day,1127,None,2.5min
Grassland,AS,CBR256,Grassland,Day,1165,None,2.5min
Grassland,AS,CBR32,Grassland,Day,1159,None,2.5min
Grassland,AS,CBR320,Grassland,Day,1162,None,2.5min
Grassland,AS,CBR64,Grassland,Day,1165,None,2.5min
Grassland,AS,CBR8,Grassland,Day,1173,None,2.5min
Grassland,AS,RAW,Grassland,Day,1160,None,2.5min
Grassland,AS,VBR0,Grassland,Day,1163,None,2.5min
Grassland,AS,CBR128,Grassland,Day,148,None,20min
Grassland,AS,CBR16,Grassland,Day,143,None,20min
Grassland,AS,CBR256,Grassland,Day,147,None,20min
Grassland,AS,CBR32,Grassland,Day,146,None,20min
Grassland,AS,CBR320,Grassland,Day,147,None,20min
Grassland,AS,CBR64,Grassland,Day,145,None,20min
Grassland,AS,CBR8,Grassland,Day,149,None,20min
Grassland,AS,RAW,Grassland,Day,147,None,20min
Grassland,AS,VBR0,Grassland,Day,147,None,20min
Grassland,AS,CBR128,Grassland,Day,585,None,5min
Grassland,AS,CBR16,Grassland,Day,566,None,5min
Grassland,AS,CBR256,Grassland,Day,583,None,5min
Grassland,AS,CBR32,Grassland,Day,580,None,5min
Grassland,AS,CBR320,Grassland,Day,585,None,5min
Grassland,AS,CBR64,Grassland,Day,579,None,5min
Grassland,AS,CBR8,Grassland,Day,585,None,5min
Grassland,AS,RAW,Grassland,Day,585,None,5min
Grassland,AS,VBR0,Grassland,Day,582,None,5min
Grassland,AI,CBR16,Grassland,Day,499,None,5min
Grassland,AI,CBR128,Grassland,Day,467,None,5min
Grassland,AI,CBR32,Grassland,Day,410,None,5min
Grassland,AI,CBR128,Grassland,Afternoon,23,8,10min
Grassland,AI,CBR16,Grassland,Afternoon,29,8,10min
Grassland,AI,CBR256,Grassland,Afternoon,31,8,10min
Grassland,AI,CBR32,Grassland,Afternoon,24,8,10min
Grassland,AI,CBR320,Grassland,Afternoon,31,8,10min
Grassland,AI,CBR64,Grassland,Afternoon,23,8,10min
Grassland,AI,CBR8,Grassland,Afternoon,34,8,10min
Grassland,AI,RAW,Grassland,Afternoon,31,8,10min
Grassland,AI,VBR0,Grassland,Afternoon,19,8,10min
Grassland,AI,CBR128,Grassland,Afternoon,110,8,2.5min
Grassland,AI,CBR16,Grassland,Afternoon,106,8,2.5min
Grassland,AI,CBR256,Grassland,Afternoon,116,8,2.5min
Grassland,AI,CBR32,Grassland,Afternoon,110,8,2.5min
Grassland,AI,CBR320,Grassland,Afternoon,105,8,2.5min
Grassland,AI,CBR64,Grassland,Afternoon,117,8,2.5min
Grassland,AI,CBR8,Grassland,Afternoon,128,8,2.5min
Grassland,AI,RAW,Grassland,Afternoon,113,8,2.5min
Grassland,AI,VBR0,Grassland,Afternoon,106,8,2.5min
Grassland,AI,CBR128,Grassland,Afternoon,15,8,20min
Grassland,AI,CBR16,Grassland,Afternoon,15,8,20min
Grassland,AI,CBR256,Grassland,Afternoon,17,8,20min
Grassland,AI,CBR32,Grassland,Afternoon,15,8,20min
Grassland,AI,CBR320,Grassland,Afternoon,16,8,20min
Grassland,AI,CBR64,Grassland,Afternoon,16,8,20min
Grassland,AI,CBR8,Grassland,Afternoon,18,8,20min
Grassland,AI,RAW,Grassland,Afternoon,14,8,20min
Grassland,AI,VBR0,Grassland,Afternoon,15,8,20min
Grassland,AI,CBR128,Grassland,Afternoon,59,8,5min
Grassland,AI,CBR16,Grassland,Afternoon,58,8,5min
Grassland,AI,CBR256,Grassland,Afternoon,63,8,5min
Grassland,AI,CBR32,Grassland,Afternoon,53,8,5min
Grassland,AI,CBR320,Grassland,Afternoon,63,8,5min
Grassland,AI,CBR64,Grassland,Afternoon,53,8,5min
Grassland,AI,CBR8,Grassland,Afternoon,60,8,5min
Grassland,AI,RAW,Grassland,Afternoon,54,8,5min
Grassland,AI,VBR0,Grassland,Afternoon,34,8,5min
Grassland,AS,CBR128,Grassland,Afternoon,36,8,10min
Grassland,AS,CBR16,Grassland,Afternoon,35,8,10min
Grassland,AS,CBR256,Grassland,Afternoon,36,8,10min
Grassland,AS,CBR32,Grassland,Afternoon,35,8,10min
Grassland,AS,CBR320,Grassland,Afternoon,36,8,10min
Grassland,AS,CBR64,Grassland,Afternoon,36,8,10min
Grassland,AS,CBR8,Grassland,Afternoon,36,8,10min
Grassland,AS,RAW,Grassland,Afternoon,36,8,10min
Grassland,AS,VBR0,Grassland,Afternoon,36,8,10min
Grassland,AS,CBR128,Grassland,Afternoon,140,8,2.5min
Grassland,AS,CBR16,Grassland,Afternoon,141,8,2.5min
Grassland,AS,CBR256,Grassland,Afternoon,142,8,2.5min
Grassland,AS,CBR32,Grassland,Afternoon,142,8,2.5min
Grassland,AS,CBR320,Grassland,Afternoon,143,8,2.5min
Grassland,AS,CBR64,Grassland,Afternoon,140,8,2.5min
Grassland,AS,CBR8,Grassland,Afternoon,142,8,2.5min
Grassland,AS,RAW,Grassland,Afternoon,142,8,2.5min
Grassland,AS,VBR0,Grassland,Afternoon,143,8,2.5min
Grassland,AS,CBR128,Grassland,Afternoon,18,8,20min
Grassland,AS,CBR16,Grassland,Afternoon,17,8,20min
Grassland,AS,CBR256,Grassland,Afternoon,18,8,20min
Grassland,AS,CBR32,Grassland,Afternoon,18,8,20min
Grassland,AS,CBR320,Grassland,Afternoon,18,8,20min
Grassland,AS,CBR64,Grassland,Afternoon,18,8,20min
Grassland,AS,CBR8,Grassland,Afternoon,18,8,20min
Grassland,AS,RAW,Grassland,Afternoon,18,8,20min
