Obs,Ind,Comp,Pred,Time,N
Primary,AS,RAW,Grassland,Dawn,0
Primary,AS,CBR8,Grassland,Dawn,3
Primary,AI,RAW,Grassland,Dawn,2
Primary,AI,CBR8,Grassland,Dawn,4
Primary,AS,RAW,Logged,Dawn,33
Primary,AS,CBR8,Logged,Dawn,45
Primary,AI,RAW,Logged,Dawn,41
Primary,AI,CBR8,Logged,Dawn,70
Primary,AS,RAW,Primary,Dawn,239
Primary,AS,CBR8,Primary,Dawn,224
Primary,AI,RAW,Primary,Dawn,228
Primary,AI,CBR8,Primary,Dawn,198
Primary,AS,RAW,Grassland,Midday,0
Primary,AS,CBR8,Grassland,Midday,3
Primary,AI,RAW,Grassland,Midday,4
Primary,AI,CBR8,Grassland,Midday,4
Primary,AS,RAW,Logged,Midday,5
Primary,AS,CBR8,Logged,Midday,17
Primary,AI,RAW,Logged,Midday,8
Primary,AI,CBR8,Logged,Midday,7
Primary,AS,RAW,Primary,Midday,259
Primary,AS,CBR8,Primary,Midday,244
Primary,AI,RAW,Primary,Midday,251
Primary,AI,CBR8,Primary,Midday,253
Primary,AS,RAW,Grassland,Dusk,13
Primary,AS,CBR8,Grassland,Dusk,11
Primary,AI,RAW,Grassland,Dusk,5
Primary,AI,CBR8,Grassland,Dusk,20
Primary,AS,RAW,Logged,Dusk,1
Primary,AS,CBR8,Logged,Dusk,12
Primary,AI,RAW,Logged,Dusk,26
Primary,AI,CBR8,Logged,Dusk,71
Primary,AS,RAW,Primary,Dusk,274
Primary,AS,CBR8,Primary,Dusk,265
Primary,AI,RAW,Primary,Dusk,256
Primary,AI,CBR8,Primary,Dusk,197
Primary,AS,RAW,Grassland,Midnight,0
Primary,AS,CBR8,Grassland,Midnight,0
Primary,AI,RAW,Grassland,Midnight,2
Primary,AI,CBR8,Grassland,Midnight,0
Primary,AS,RAW,Logged,Midnight,4
Primary,AS,CBR8,Logged,Midnight,54
Primary,AI,RAW,Logged,Midnight,2
Primary,AI,CBR8,Logged,Midnight,76
Primary,AS,RAW,Primary,Midnight,284
Primary,AS,CBR8,Primary,Midnight,234
Primary,AI,RAW,Primary,Midnight,283
Primary,AI,CBR8,Primary,Midnight,212
Primary,AS,RAW,Grassland,Day,33 
Primary,AS,CBR8,Grassland,Day,16 
Primary,AI,RAW,Grassland,Day,13 
Primary,AI,CBR8,Grassland,Day,31 
Primary,AS,RAW,Logged,Day,39 
Primary,AS,CBR8,Logged,Day,135 
Primary,AI,RAW,Logged,Day,138 
Primary,AI,CBR8,Logged,Day,199 
Primary,AS,RAW,Primary,Day,1040 
Primary,AS,CBR8,Primary,Day,961 
Primary,AI,RAW,Primary,Day,957 
Primary,AI,CBR8,Primary,Day,882 
Logged,AS,RAW,Grassland,Dawn,1
Logged,AS,CBR8,Grassland,Dawn,0
Logged,AI,RAW,Grassland,Dawn,35
Logged,AI,CBR8,Grassland,Dawn,2
Logged,AS,RAW,Logged,Dawn,256
Logged,AS,CBR8,Logged,Dawn,250
Logged,AI,RAW,Logged,Dawn,190
Logged,AI,CBR8,Logged,Dawn,248
Logged,AS,RAW,Primary,Dawn,7
Logged,AS,CBR8,Primary,Dawn,14
Logged,AI,RAW,Primary,Dawn,38
Logged,AI,CBR8,Primary,Dawn,14
Logged,AS,RAW,Grassland,Midday,9
Logged,AS,CBR8,Grassland,Midday,0
Logged,AI,RAW,Grassland,Midday,104
Logged,AI,CBR8,Grassland,Midday,6
Logged,AS,RAW,Logged,Midday,267
Logged,AS,CBR8,Logged,Midday,221
Logged,AI,RAW,Logged,Midday,165
Logged,AI,CBR8,Logged,Midday,185
Logged,AS,RAW,Primary,Midday,12
Logged,AS,CBR8,Primary,Midday,67
Logged,AI,RAW,Primary,Midday,19
Logged,AI,CBR8,Primary,Midday,97
Logged,AS,RAW,Grassland,Dusk,25
Logged,AS,CBR8,Grassland,Dusk,8
Logged,AI,RAW,Grassland,Dusk,40
Logged,AI,CBR8,Grassland,Dusk,18
Logged,AS,RAW,Logged,Dusk,193
Logged,AS,CBR8,Logged,Dusk,193
