Obs,Ind,Comp,Pred,Time,N,chunks,frame.size
D,Analytical,CBR128,D,Dawn1,22,12,10min
D,Analytical,CBR128,E,Dawn1,0,12,10min
D,Analytical,CBR128,VJR,Dawn1,2,12,10min
E,Analytical,CBR128,D,Dawn1,2,12,10min
E,Analytical,CBR128,E,Dawn1,12,12,10min
E,Analytical,CBR128,VJR,Dawn1,10,12,10min
VJR,Analytical,CBR128,D,Dawn1,0,12,10min
VJR,Analytical,CBR128,E,Dawn1,7,12,10min
VJR,Analytical,CBR128,VJR,Dawn1,17,12,10min
D,Analytical,CBR128,D,Dawn2,16,12,10min
D,Analytical,CBR128,E,Dawn2,8,12,10min
D,Analytical,CBR128,VJR,Dawn2,0,12,10min
E,Analytical,CBR128,D,Dawn2,1,12,10min
E,Analytical,CBR128,E,Dawn2,23,12,10min
E,Analytical,CBR128,VJR,Dawn2,0,12,10min
VJR,Analytical,CBR128,D,Dawn2,0,12,10min
VJR,Analytical,CBR128,E,Dawn2,0,12,10min
VJR,Analytical,CBR128,VJR,Dawn2,24,12,10min
D,Analytical,CBR128,D,Dawn3,13,12,10min
D,Analytical,CBR128,E,Dawn3,6,12,10min
D,Analytical,CBR128,VJR,Dawn3,13,12,10min
E,Analytical,CBR128,D,Dawn3,8,12,10min
E,Analytical,CBR128,E,Dawn3,7,12,10min
E,Analytical,CBR128,VJR,Dawn3,3,12,10min
VJR,Analytical,CBR128,D,Dawn3,1,12,10min
VJR,Analytical,CBR128,E,Dawn3,0,12,10min
VJR,Analytical,CBR128,VJR,Dawn3,19,12,10min
D,Analytical,CBR128,D,Dusk1,21,12,10min
D,Analytical,CBR128,E,Dusk1,1,12,10min
D,Analytical,CBR128,VJR,Dusk1,2,12,10min
E,Analytical,CBR128,D,Dusk1,4,12,10min
E,Analytical,CBR128,E,Dusk1,17,12,10min
E,Analytical,CBR128,VJR,Dusk1,3,12,10min
VJR,Analytical,CBR128,D,Dusk1,2,12,10min
VJR,Analytical,CBR128,E,Dusk1,4,12,10min
VJR,Analytical,CBR128,VJR,Dusk1,18,12,10min
D,Analytical,CBR128,D,Dusk2,24,12,10min
D,Analytical,CBR128,E,Dusk2,0,12,10min
D,Analytical,CBR128,VJR,Dusk2,0,12,10min
E,Analytical,CBR128,D,Dusk2,4,12,10min
E,Analytical,CBR128,E,Dusk2,11,12,10min
E,Analytical,CBR128,VJR,Dusk2,9,12,10min
VJR,Analytical,CBR128,D,Dusk2,3,12,10min
VJR,Analytical,CBR128,E,Dusk2,9,12,10min
VJR,Analytical,CBR128,VJR,Dusk2,12,12,10min
D,Analytical,CBR128,D,Dusk3,8,12,10min
D,Analytical,CBR128,E,Dusk3,2,12,10min
D,Analytical,CBR128,VJR,Dusk3,14,12,10min
E,Analytical,CBR128,D,Dusk3,4,12,10min
E,Analytical,CBR128,E,Dusk3,10,12,10min
E,Analytical,CBR128,VJR,Dusk3,10,12,10min
VJR,Analytical,CBR128,D,Dusk3,2,12,10min
VJR,Analytical,CBR128,E,Dusk3,2,12,10min
VJR,Analytical,CBR128,VJR,Dusk3,20,12,10min
D,Analytical,CBR128,D,Midday1,20,12,10min
D,Analytical,CBR128,E,Midday1,4,12,10min
D,Analytical,CBR128,VJR,Midday1,4,12,10min
E,Analytical,CBR128,D,Midday1,10,12,10min
E,Analytical,CBR128,E,Midday1,13,12,10min
E,Analytical,CBR128,VJR,Midday1,1,12,10min
VJR,Analytical,CBR128,D,Midday1,0,12,10min
VJR,Analytical,CBR128,E,Midday1,10,12,10min
VJR,Analytical,CBR128,VJR,Midday1,8,12,10min
D,Analytical,CBR128,D,Midday2,16,12,10min
D,Analytical,CBR128,E,Midday2,8,12,10min
D,Analytical,CBR128,VJR,Midday2,0,12,10min
E,Analytical,CBR128,D,Midday2,7,12,10min
E,Analytical,CBR128,E,Midday2,17,12,10min
E,Analytical,CBR128,VJR,Midday2,0,12,10min
VJR,Analytical,CBR128,D,Midday2,1,12,10min
VJR,Analytical,CBR128,E,Midday2,2,12,10min
VJR,Analytical,CBR128,VJR,Midday2,21,12,10min
D,Analytical,CBR128,D,Midday3,12,12,10min
D,Analytical,CBR128,E,Midday3,5,12,10min
D,Analytical,CBR128,VJR,Midday3,7,12,10min
E,Analytical,CBR128,D,Midday3,0,12,10min
E,Analytical,CBR128,E,Midday3,14,12,10min
E,Analytical,CBR128,VJR,Midday3,10,12,10min
VJR,Analytical,CBR128,D,Midday3,0,12,10min
VJR,Analytical,CBR128,E,Midday3,0,12,10min
VJR,Analytical,CBR128,VJR,Midday3,24,12,10min
D,Analytical,CBR128,D,Midnight1,3,12,10min
D,Analytical,CBR128,E,Midnight1,5,12,10min
D,Analytical,CBR128,VJR,Midnight1,16,12,10min
E,Analytical,CBR128,D,Midnight1,2,12,10min
E,Analytical,CBR128,E,Midnight1,18,12,10min
E,Analytical,CBR128,VJR,Midnight1,4,12,10min
VJR,Analytical,CBR128,D,Midnight1,0,12,10min
VJR,Analytical,CBR128,E,Midnight1,14,12,10min
VJR,Analytical,CBR128,VJR,Midnight1,10,12,10min
D,Analytical,CBR128,D,Midnight2,21,12,10min
D,Analytical,CBR128,E,Midnight2,3,12,10min
D,Analytical,CBR128,VJR,Midnight2,0,12,10min
E,Analytical,CBR128,D,Midnight2,2,12,10min
E,Analytical,CBR128,E,Midnight2,19,12,10min
E,Analytical,CBR128,VJR,Midnight2,3,12,10min
VJR,Analytical,CBR128,D,Midnight2,4,12,10min
VJR,Analytical,CBR128,E,Midnight2,6,12,10min
VJR,Analytical,CBR128,VJR,Midnight2,14,12,10min
D,Analytical,CBR128,D,Midnight3,21,12,10min
D,Analytical,CBR128,E,Midnight3,2,12,10min
D,Analytical,CBR128,VJR,Midnight3,1,12,10min
E,Analytical,CBR128,D,Midnight3,3,12,10min
E,Analytical,CBR128,E,Midnight3,16,12,10min
E,Analytical,CBR128,VJR,Midnight3,5,12,10min
VJR,Analytical,CBR128,D,Midnight3,1,12,10min
VJR,Analytical,CBR128,E,Midnight3,7,12,10min
VJR,Analytical,CBR128,VJR,Midnight3,16,12,10min
D,Analytical,CBR128,D,Dawn,59,4,10min
D,Analytical,CBR128,E,Dawn,7,4,10min
D,Analytical,CBR128,VJR,Dawn,14,4,10min
