index,compression,frame.size,median,lower,higher
total.dif,CBR320,20min,-0.00016343,-0.001516986,0.000924931
total.dif,CBR256,20min,-0.001255521,-0.00470337,0.001204565
total.dif,VBR0,20min,-0.02291613,-0.04998572,0.000506654
total.dif,CBR128,20min,-0.09432309,-0.28305545,-0.009752308
total.dif,CBR64,20min,0.080791805,-0.210073275,0.4404448
total.dif,CBR32,20min,0.4472376,0.082948285,1.308522
total.dif,CBR16,20min,0.855234,0.082470455,1.8576165
total.dif,CBR16,20min,0.855234,0.082470455,1.8576165
total.dif,CBR8,20min,0.7923606,0.06303096,1.632969
total.dif,RAW,20min,0,0,0
total.abs.dif,CBR320,20min,0.01296835,0.008470986,0.01809186
total.abs.dif,CBR256,20min,0.03694258,0.022053275,0.05104953
total.abs.dif,VBR0,20min,0.3332463,0.2252176,0.46655115
total.abs.dif,CBR128,20min,0.8571851,0.54934455,1.330976
total.abs.dif,CBR64,20min,4.4396,3.34687825,5.3994435
total.abs.dif,CBR32,20min,6.232231,4.911798,7.405675
total.abs.dif,CBR16,20min,10.1816,9.1464545,11.75864
total.abs.dif,CBR16,20min,10.1816,9.1464545,11.75864
total.abs.dif,CBR8,20min,12.67043,11.276755,14.271225
total.abs.dif,RAW,20min,0,0,0
total.dif.R,CBR320,20min,0.001717338,-0.001270266,0.005606338
total.dif.R,CBR256,20min,0.006001353,-0.000407119,0.016139412
total.dif.R,VBR0,20min,0.070358963,0.026279468,0.165588936
total.dif.R,CBR128,20min,0.105643175,-0.025902585,0.306057474
total.dif.R,CBR64,20min,-0.480472028,-2.213714081,0.517223712
total.dif.R,CBR32,20min,-2.31198446,-6.775368845,-0.376823309
total.dif.R,CBR16,20min,-13.83193825,-26.66343809,-9.445924893
total.dif.R,CBR16,20min,-13.83193825,-26.66343809,-9.445924893
total.dif.R,CBR8,20min,-39.03924746,-80.96179138,-28.15674606
total.dif.R,RAW,20min,0,0,0
total.abs.R,CBR320,20min,0.026250561,0.018120675,0.038282357
total.abs.R,CBR256,20min,0.062986807,0.040346819,0.088252202
total.abs.R,VBR0,20min,0.453684625,0.297201824,0.666125516
total.abs.R,CBR128,20min,1.175843111,0.808632082,1.780870483
total.abs.R,CBR64,20min,6.550718356,4.582026927,9.374447178
total.abs.R,CBR32,20min,10.20644552,7.68810919,15.33746429
total.abs.R,CBR16,20min,25.00417192,20.74690887,38.13978546
total.abs.R,CBR16,20min,25.00417192,20.74690887,38.13978546
total.abs.R,CBR8,20min,51.97824331,40.81068706,93.94907828
total.abs.R,RAW,20min,0,0,0
total.dif,CBR320,10min,-0.000226396,-0.001776596,0.00118943
total.dif,CBR256,10min,-0.001235604,-0.005038212,0.001455946
