compression,file.size,frame.size,accuracy,precision,recall,time,chunks,index.type
CBR128,16.667,10min,0.934883721,0.934921935,0.934348181,Whole Day,None,AudioSet
CBR128,16.667,2_5min,0.930824891,0.930753252,0.930187473,Whole Day,None,AudioSet
CBR128,16.667,20min,0.944444444,0.94413477,0.943742654,Whole Day,None,AudioSet
CBR128,16.667,5min,0.934302326,0.933988615,0.9335939,Whole Day,None,AudioSet
CBR16,2.08,10min,0.933727811,0.933943028,0.933685777,Whole Day,None,AudioSet
CBR16,2.08,2_5min,0.928819444,0.92899531,0.92885511,Whole Day,None,AudioSet
CBR16,2.08,20min,0.946759259,0.947424834,0.947167238,Whole Day,None,AudioSet
CBR16,2.08,5min,0.934302326,0.934182774,0.934175037,Whole Day,None,AudioSet
CBR256,33.35,10min,0.941860465,0.942013753,0.941244621,Whole Day,None,AudioSet
CBR256,33.35,2_5min,0.923900463,0.924049039,0.923130001,Whole Day,None,AudioSet
CBR256,33.35,20min,0.94212963,0.941736526,0.941549672,Whole Day,None,AudioSet
CBR256,33.35,5min,0.935465116,0.935490813,0.93483664,Whole Day,None,AudioSet
CBR32,4.16,10min,0.916470588,0.917965848,0.91592199,Whole Day,None,AudioSet
CBR32,4.16,2_5min,0.91331985,0.914547471,0.912456887,Whole Day,None,AudioSet
CBR32,4.16,20min,0.918981481,0.919527933,0.918183147,Whole Day,None,AudioSet
CBR32,4.16,5min,0.915697674,0.916646598,0.914900098,Whole Day,None,AudioSet
CBR320,41.6,10min,0.939534884,0.939455142,0.938863547,Whole Day,None,AudioSet
CBR320,41.6,2_5min,0.925347222,0.925593466,0.924620298,Whole Day,None,AudioSet
CBR320,41.6,20min,0.944444444,0.944045125,0.943913738,Whole Day,None,AudioSet
CBR320,41.6,5min,0.937209302,0.937240415,0.936583536,Whole Day,None,AudioSet
CBR64,8.33,10min,0.912790698,0.91257111,0.912232937,Whole Day,None,AudioSet
CBR64,8.33,2_5min,0.920717593,0.919969202,0.919751852,Whole Day,None,AudioSet
CBR64,8.33,20min,0.909722222,0.908918696,0.90852279,Whole Day,None,AudioSet
CBR64,8.33,5min,0.920348837,0.919625085,0.919318456,Whole Day,None,AudioSet
CBR8,1.04,10min,0.906976744,0.907111657,0.905528513,Whole Day,None,AudioSet
CBR8,1.04,2_5min,0.899594907,0.898226592,0.897607726,Whole Day,None,AudioSet
CBR8,1.04,20min,0.909722222,0.909744769,0.907667371,Whole Day,None,AudioSet
CBR8,1.04,5min,0.905232558,0.904024643,0.903442535,Whole Day,None,AudioSet
RAW,100,10min,0.939534884,0.939618235,0.938863547,Whole Day,None,AudioSet
RAW,100,2_5min,0.925636574,0.925696398,0.924903051,Whole Day,None,AudioSet
RAW,100,20min,0.935185185,0.935049284,0.934457473,Whole Day,None,AudioSet
RAW,100,5min,0.936046512,0.936207278,0.935358301,Whole Day,None,AudioSet
VBR0,22.56,10min,0.940070505,0.939877629,0.93940071,Whole Day,None,AudioSet
VBR0,22.56,2_5min,0.925636574,0.92580111,0.924915806,Whole Day,None,AudioSet
VBR0,22.56,20min,0.9375,0.937238931,0.936821539,Whole Day,None,AudioSet
VBR0,22.56,5min,0.933139535,0.93325779,0.932362574,Whole Day,None,AudioSet
CBR128,16.667,10min,0.948598131,0.946568299,0.945632799,Dawn,4,AudioSet
CBR128,16.667,10min,0.865740741,0.87335504,0.865740741,Dusk,4,AudioSet
CBR128,16.667,10min,0.981308411,0.980812411,0.981968811,Midday,4,AudioSet
CBR128,16.667,10min,0.99537037,0.99543379,0.99537037,Midnight,4,AudioSet
CBR16,2.08,10min,0.952380952,0.955555556,0.950980392,Dawn,4,AudioSet
CBR16,2.08,10min,0.906976744,0.911521812,0.907276995,Dusk,4,AudioSet
CBR16,2.08,10min,0.95754717,0.958419815,0.958583584,Midday,4,AudioSet
CBR16,2.08,10min,0.932692308,0.936443293,0.932712215,Midnight,4,AudioSet
CBR256,33.35,10min,0.943925234,0.942708333,0.942201426,Dawn,4,AudioSet
CBR256,33.35,10min,0.861111111,0.87531001,0.861111111,Dusk,4,AudioSet
CBR256,33.35,10min,0.981308411,0.980952381,0.981725146,Midday,4,AudioSet
CBR256,33.35,10min,1,1,1,Midnight,4,AudioSet
CBR32,4.16,10min,0.929245283,0.93,0.926658423,Dawn,4,AudioSet
CBR32,4.16,10min,0.882629108,0.895090069,0.881287726,Dusk,4,AudioSet
CBR32,4.16,10min,0.952830189,0.952069717,0.952380139,Midday,4,AudioSet
CBR32,4.16,10min,0.971830986,0.971618357,0.971618357,Midnight,4,AudioSet
CBR320,41.6,10min,0.943925234,0.942708333,0.942201426,Dawn,4,AudioSet
CBR320,41.6,10min,0.865740741,0.878616568,0.865740741,Dusk,4,AudioSet
CBR320,41.6,10min,0.976635514,0.976190476,0.977339181,Midday,4,AudioSet
CBR320,41.6,10min,1,1,1,Midnight,4,AudioSet
CBR64,8.33,10min,0.943925234,0.944698545,0.944555853,Dawn,4,AudioSet
CBR64,8.33,10min,0.893518519,0.901186299,0.893518519,Dusk,4,AudioSet
CBR64,8.33,10min,0.929906542,0.929488346,0.930156831,Midday,4,AudioSet
CBR64,8.33,10min,0.972222222,0.972458172,0.972222222,Midnight,4,AudioSet
CBR8,1.04,10min,0.943925234,0.942204301,0.940730838,Dawn,4,AudioSet
CBR8,1.04,10min,0.819444444,0.832267442,0.819444444,Dusk,4,AudioSet
CBR8,1.04,10min,0.906542056,0.912217514,0.906388446,Midday,4,AudioSet
CBR8,1.04,10min,0.856481481,0.865911407,0.856481481,Midnight,4,AudioSet
RAW,100,10min,0.948598131,0.948322099,0.947251931,Dawn,4,AudioSet
RAW,100,10min,0.87037037,0.88018278,0.87037037,Dusk,4,AudioSet
RAW,100,10min,0.981308411,0.980952381,0.981725146,Midday,4,AudioSet
RAW,100,10min,1,1,1,Midnight,4,AudioSet
VBR0,22.56,10min,0.943127962,0.941939891,0.940617716,Dawn,4,AudioSet
VBR0,22.56,10min,0.855140187,0.870218087,0.854590506,Dusk,4,AudioSet
VBR0,22.56,10min,0.981220657,0.980676329,0.981725146,Midday,4,AudioSet
