index,compression,frame.size,median,lower,higher
ACI,CBR320,20min,-237.01,-259.33,-200.185
ACI,CBR256,20min,-30.185,-40.215,-17.4725
ACI,VBR0,20min,-258.655,-282.23,-227.2375
ACI,CBR128,20min,-50.34,-73.03,-30.07
ACI,CBR64,20min,-195.26,-214.95,-167.68
ACI,CBR32,20min,-135.66,-164.88,-82.35
ACI,CBR16,20min,-185.53,-223.5,-138.575
ACI,CBR16,20min,-185.53,-223.5,-138.575
ACI,CBR8,20min,-214.9,-269.64,-150.43
ACI,RAW,20min,0,0,0
ADI,CBR320,20min,13.17558446,7.743617904,17.76087039
ADI,CBR256,20min,4.57816297,1.012072187,6.802319851
ADI,VBR0,20min,12.99622648,7.691945332,17.70010776
ADI,CBR128,20min,4.197042809,0.432720261,6.525383439
ADI,CBR64,20min,12.41984591,6.799576266,16.96177286
ADI,CBR32,20min,36.01450932,29.99531209,41.92545401
ADI,CBR16,20min,48.81651071,40.87717685,55.73405077
ADI,CBR16,20min,48.81651071,40.87717685,55.73405077
ADI,CBR8,20min,74.19179169,66.17567888,81.2873024
ADI,RAW,20min,0,0,0
Aeev,CBR320,20min,-16.52209604,-30.29328675,-8.240693313
Aeev,CBR256,20min,-6.277526388,-13.412411,-0.592942732
Aeev,VBR0,20min,-16.46159111,-30.52364725,-8.053558607
Aeev,CBR128,20min,-5.422293103,-12.70010804,0.057597115
Aeev,CBR64,20min,-15.53131382,-28.81320864,-6.857300071
Aeev,CBR32,20min,-3.116395382,-17.20274856,6.857747427
Aeev,CBR16,20min,-0.101102509,-15.93628305,14.1783408
Aeev,CBR16,20min,-0.101102509,-15.93628305,14.1783408
Aeev,CBR8,20min,8.711367993,-8.26244601,22.36154884
Aeev,RAW,20min,0,0,0
Bio,CBR320,20min,-155.878273,-165.2035756,-143.7682683
Bio,CBR256,20min,-211.9281988,-223.5090292,-198.880296
Bio,VBR0,20min,-156.095944,-165.1708326,-143.5941224
Bio,CBR128,20min,-210.3968755,-222.1604243,-197.5418782
Bio,CBR64,20min,-156.5574736,-165.7850968,-144.4820306
