"","index","compression","frame.size","median","lower","higher"
"1","total.dif","CBR320","20min",-0.00016343,-0.0015169855,0.0009249305
"2","total.dif","CBR256","20min",-0.001255521,-0.0047033695,0.001204565
"3","total.dif","VBR0","20min",-0.02291613,-0.04998572,0.0005066535
"4","total.dif","CBR128","20min",-0.09432309,-0.28305545,-0.009752308
"5","total.dif","CBR64","20min",0.080791805,-0.210073275,0.4404448
"6","total.dif","CBR32","20min",0.4472376,0.082948285,1.308522
"7","total.dif","CBR16","20min",0.855234,0.082470455,1.8576165
"8","total.dif","CBR16","20min",0.855234,0.082470455,1.8576165
"9","total.dif","CBR8","20min",0.7923606,0.06303096,1.632969
"10","total.dif","RAW","20min",0,0,0
"11","total.abs.dif","CBR320","20min",0.01296835,0.008470986,0.01809186
"12","total.abs.dif","CBR256","20min",0.03694258,0.022053275,0.05104953
"13","total.abs.dif","VBR0","20min",0.3332463,0.2252176,0.46655115
"14","total.abs.dif","CBR128","20min",0.8571851,0.54934455,1.330976
"15","total.abs.dif","CBR64","20min",4.4396,3.34687825,5.3994435
"16","total.abs.dif","CBR32","20min",6.232231,4.911798,7.405675
"17","total.abs.dif","CBR16","20min",10.1816,9.1464545,11.75864
"18","total.abs.dif","CBR16","20min",10.1816,9.1464545,11.75864
"19","total.abs.dif","CBR8","20min",12.67043,11.276755,14.271225
"20","total.abs.dif","RAW","20min",0,0,0
"21","total.dif.R","CBR320","20min",0.00171733833914465,-0.00127026649368865,0.00560633839527725
"22","total.dif.R","CBR256","20min",0.00600135316962522,-0.0004071187956037,0.0161394115364718
"23","total.dif.R","VBR0","20min",0.0703589626711003,0.026279468107325,0.165588935676523
"24","total.dif.R","CBR128","20min",0.105643175464545,-0.0259025849782611,0.306057474374594
"25","total.dif.R","CBR64","20min",-0.480472027695539,-2.2137140811404,0.517223712346671
"26","total.dif.R","CBR32","20min",-2.31198446023921,-6.77536884494387,-0.376823308588024
"27","total.dif.R","CBR16","20min",-13.831938245339,-26.6634380888385,-9.4459248926782
"28","total.dif.R","CBR16","20min",-13.831938245339,-26.6634380888385,-9.4459248926782
"29","total.dif.R","CBR8","20min",-39.0392474581408,-80.9617913844096,-28.1567460612555
"30","total.dif.R","RAW","20min",0,0,0
"31","total.abs.R","CBR320","20min",0.0262505607408277,0.0181206745135916,0.0382823568296609
"32","total.abs.R","CBR256","20min",0.0629868074484782,0.0403468188371347,0.0882522021622515
"33","total.abs.R","VBR0","20min",0.453684625056089,0.297201824016491,0.666125515562474
"34","total.abs.R","CBR128","20min",1.17584311092678,0.80863208200497,1.78087048281131
"35","total.abs.R","CBR64","20min",6.55071835568888,4.5820269272181,9.37444717809012
"36","total.abs.R","CBR32","20min",10.2064455228363,7.68810918991441,15.3374642904125
"37","total.abs.R","CBR16","20min",25.004171920513,20.7469088699885,38.1397854573815
"38","total.abs.R","CBR16","20min",25.004171920513,20.7469088699885,38.1397854573815
"39","total.abs.R","CBR8","20min",51.9782433092472,40.8106870628447,93.9490782800723
"40","total.abs.R","RAW","20min",0,0,0
"41","total.dif","CBR320","10min",-0.0002263955,-0.00177659625,0.00118943
"42","total.dif","CBR256","10min",-0.001235604,-0.005038212,0.001455946
"43","total.dif","VBR0","10min",-0.021986695,-0.051583165,0.00284672025
"44","total.dif","CBR128","10min",-0.09005602,-0.2710771,-0.0064181395
"45","total.dif","CBR64","10min",0.08162357,-0.220580375,0.478850075
"46","total.dif","CBR32","10min",0.4704151955,0.0901202575,1.272945947
"47","total.dif","CBR16","10min",0.838369039,0.06978159,1.8437940315
"48","total.dif","CBR16","10min",0.838369039,0.06978159,1.8437940315
"49","total.dif","CBR8","10min",0.7889296,0.0515001975,1.65974343625
"50","total.dif","RAW","10min",0,0,0
"51","total.abs.dif","CBR320","10min",0.01476499,0.01060973,0.020683975
"52","total.abs.dif","CBR256","10min",0.03834898,0.0247898425,0.05421684875
"53","total.abs.dif","VBR0","10min",0.33569995,0.230500866,0.47379675
"54","total.abs.dif","CBR128","10min",0.8438027,0.55469566075,1.337679
"55","total.abs.dif","CBR64","10min",4.5315515,3.39534175,5.47258475
"56","total.abs.dif","CBR32","10min",6.3410075,4.884907796,7.5078065
"57","total.abs.dif","CBR16","10min",10.29246,9.175495,11.828865
"58","total.abs.dif","CBR16","10min",10.29246,9.175495,11.828865
"59","total.abs.dif","CBR8","10min",12.78682703,11.32013,14.3659425
"60","total.abs.dif","RAW","10min",0,0,0
"61","total.dif.R","CBR320","10min",0.00134336164204691,-0.00151601165652453,0.00484928312302881
"62","total.dif.R","CBR256","10min",0.00492906097747059,-0.000831324666178568,0.012899212627955
"63","total.dif.R","VBR0","10min",0.0571819558318669,0.0201726111860593,0.135552811111405
"64","total.dif.R","CBR128","10min",0.0813476168206697,-0.0325293684933448,0.241188386293584
"65","total.dif.R","CBR64","10min",-0.2983994186943,-1.62536380350061,0.444585643995079
"66","total.dif.R","CBR32","10min",-1.69260135522137,-4.60600091352328,-0.13206284914414
"67","total.dif.R","CBR16","10min",-8.16951716161481,-13.8639780321913,-5.62953441936692
"68","total.dif.R","CBR16","10min",-8.16951716161481,-13.8639780321913,-5.62953441936692
"69","total.dif.R","CBR8","10min",-22.6643676749284,-38.4156768265597,-16.4890504320338
"70","total.dif.R","RAW","10min",0,0,0
"71","total.abs.R","CBR320","10min",0.0250414910766035,0.0173533832903205,0.0348395708757015
