compression,file.size,frame.size,accuracy,precision,recall,TOD,chunks,index.type
CBR8,1.04,10min,0.737209302,0.751391378,0.735567801,0840_sample0,None,Analytical_Indices
CBR8,1.04,2_5min,0.767151163,0.781537789,0.766238371,0001_sample0,None,Analytical_Indices
CBR8,1.04,20min,0.902777778,0.903036921,0.900712241,840,None,AudioSet
CBR8,1.04,5min,0.750581395,0.769258403,0.749513905,0840_sample3,None,Analytical_Indices
CBR8,1.04,10min,0.948598131,0.946568299,0.945632799,Quarter_Day_Dawn,4,AudioSet
CBR8,1.04,10min,0.828703704,0.844336872,0.828703704,Quarter_Day_Dusk,4,AudioSet
CBR8,1.04,10min,0.906542056,0.912217514,0.906388446,Quarter_Day_Midday,4,AudioSet
CBR8,1.04,10min,0.861111111,0.869679579,0.861111111,Quarter_Day_Midnight,4,AudioSet
CBR8,1.04,2_5min,0.926401869,0.925484765,0.922458036,Quarter_Day_Dawn,4,AudioSet
CBR8,1.04,2_5min,0.84837963,0.867621654,0.84837963,Quarter_Day_Dusk,4,AudioSet
CBR8,1.04,2_5min,0.895642202,0.897923405,0.893034512,Quarter_Day_Midday,4,AudioSet
CBR8,1.04,2_5min,0.863425926,0.872623292,0.863425926,Quarter_Day_Midnight,4,AudioSet
CBR8,1.04,20min,0.934579439,0.932198327,0.930778372,Quarter_Day_Dawn,4,AudioSet
CBR8,1.04,20min,0.851851852,0.867452067,0.851851852,Quarter_Day_Dusk,4,AudioSet
CBR8,1.04,20min,0.899082569,0.899472258,0.895622896,Quarter_Day_Midday,4,AudioSet
CBR8,1.04,20min,0.861111111,0.864864865,0.861111111,Quarter_Day_Midnight,4,AudioSet
CBR8,1.04,5min,0.940758294,0.93873098,0.937412176,Quarter_Day_Dawn,4,AudioSet
CBR8,1.04,5min,0.833333333,0.850872183,0.833333333,Quarter_Day_Dusk,4,AudioSet
CBR8,1.04,5min,0.907834101,0.907056452,0.905146011,Quarter_Day_Midday,4,AudioSet
CBR8,1.04,5min,0.87037037,0.879285967,0.87037037,Quarter_Day_Midnight,4,AudioSet
CBR8,1.04,10min,0.916666667,0.920421401,0.916666667,Afternoon,8,AudioSet
CBR8,1.04,10min,0.962962963,0.962962963,0.962962963,Dawn,8,AudioSet
